    time  asom11tosom21  asom12tosom22  asom12tosom3  asom21tosom11  asom21tosom22  asom22tosom12  asom22tosom3  asom3tosom12  ametc1tosom11  ametc2tosom12  astruc1tosom11  astruc1tosom21  astruc2tosom12  astruc2tosom22  awood1tosom11  awood1tosom21  awood2tosom11  awood2tosom21  awood3tosom12  awood3tosom22
 1950.00    0.048091      7.324048      0.129308      0.000290      0.001790      2.825659      0.030465      0.994455      0.756281      6.604812      0.107262      0.063329      1.674602      0.917675      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1951.00    0.153235      4.206611      0.073115      0.000768      0.004741      2.261661      0.024385      0.788191      1.026849      3.254039      0.169471      0.104504      1.028014      0.556806      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1952.00    0.412031     11.193067      0.200384      0.002911      0.017966      5.088888      0.054867      1.764301      3.693980     22.791042      0.816377      0.481029      4.239415      2.307918      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1953.00    0.678127     15.450860      0.267879      0.006473      0.039958      4.339459      0.046787      1.410766      3.341952     19.542343      0.745214      0.472236      5.765539      3.207569      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1954.00    0.867168     20.189310      0.353960      0.011122      0.068653      5.515917      0.059471      1.631820      3.911012     20.502499      0.953842      0.597892      7.433430      4.251254      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1955.00    0.898671     21.600887      0.386599      0.010666      0.065840      6.688763      0.072116      1.801535      4.191900     20.879145      1.195397      0.692493      8.629725      4.890534      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1956.00    0.910932     22.834990      0.401043      0.015028      0.092767      7.449003      0.080313      1.846611      3.444255     20.070978      1.251376      0.675306      9.415825      5.186266      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1957.00    0.895644     21.525311      0.380635      0.012236      0.075529      7.937570      0.085580      1.835559      3.760445     20.415522      1.085405      0.627577      9.534126      5.118162      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1958.00    0.751493     20.015348      0.350796      0.009799      0.060488      7.012960      0.075611      1.535696      3.977560     19.775715      0.852933      0.550198      7.783240      4.342789      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1959.00    0.516071     19.426510      0.339562      0.006435      0.039725      6.861318      0.073977      1.425813      2.455668     20.107927      0.509016      0.338668      7.331355      4.246050      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1960.00    0.780261     24.158369      0.424972      0.010246      0.063248      9.017336      0.097222      1.778720      3.170433     23.726765      0.810920      0.503500      9.295120      5.369011      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1961.00    0.739188     23.316839      0.407087      0.009780      0.060371      8.908138      0.096045      1.674435      3.394357     21.578463      0.861430      0.525931      8.941728      5.105696      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1962.00    0.934222     24.689507      0.438759      0.010196      0.062937     10.223680      0.110228      1.840941      4.543982     22.188612      1.028016      0.652717      9.143597      5.291448      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1963.00    1.191561     23.962315      0.417241      0.014100      0.087038      9.437300      0.101750      1.635050      5.898155     22.404692      1.144922      0.780749      8.204600      4.903413      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1964.00    1.190183     26.016184      0.460034      0.016090      0.099323     10.300473      0.111056      1.709566      5.120471     23.245146      1.148796      0.753104      8.718378      5.300625      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1965.00    0.941467     25.412584      0.450160      0.012568      0.077579     11.221375      0.120985      1.797246      4.577801     24.384497      0.984289      0.645355      8.850091      5.435121      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1966.00    0.893576     25.073589      0.438475      0.010801      0.066670      9.936653      0.107134      1.540774      4.838674     33.742023      0.997398      0.654154      9.174031      5.649211      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1967.00    0.909284     27.086315      0.468970      0.009300      0.057405      9.144902      0.098597      1.352714      5.219657     33.750278      0.729497      0.561959      8.922033      5.782990      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1968.00    1.659561     38.139568      0.680497      0.021913      0.135263     12.129039      0.130771      1.681131      6.071852     46.730648      2.622370      1.318889     16.254814      9.497290      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1969.00    1.838537     38.920650      0.688315      0.025088      0.154864     12.530477      0.135099      1.600264      6.877032     37.564365      2.517198      1.330005     20.150328     10.433764      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1970.00    2.745128     48.673218      0.871017      0.035959      0.221968     17.306576      0.186594      2.039256     11.345475     44.763885      2.674289      1.705699     20.906872     11.650608      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
